locationId,name,fullAddress,rating,reviewCount,telephone,url,Avg_sentiment,Sentiment_label,combined_cuisines
9756640,Samadhi Restaurant & Gallery,"Kukul Oya Rd, Kandy 20000 Sri Lanka",5,2,+94 81 4 470925,/Restaurant_Review-g304138-d9756640-Reviews-Samadhi_Restaurant_Gallery-Kandy_Kandy_District_Central_Province.html,0.9807,Positive,"Asian, Sri Lankan"
29616534,Cafe Serenity,"No 85 Ds Senanayake Veediya,, Kandy 20000 Sri Lanka",5,6,+94 76 724 6100,/Restaurant_Review-g304138-d29616534-Reviews-Cafe_Serenity-Kandy_Kandy_District_Central_Province.html,0.974783333,Positive,"American, Cafe"
26714291,Manna,"125 D S Senanayake Road Kandy, Kandy 20000 Sri Lanka",5,1,+94 76 669 0041,/Restaurant_Review-g304138-d26714291-Reviews-Manna-Kandy_Kandy_District_Central_Province.html,0.9719,Positive,"Chinese, Asian, Indonesian, Sri Lankan"
21165595,Better Blend,"47 Hewaheta Rd, Kandy 20000 Sri Lanka",5,1,+94 77 663 9076,/Restaurant_Review-g304138-d21165595-Reviews-Better_Blend-Kandy_Kandy_District_Central_Province.html,0.9694,Positive,"Mexican, Chinese, Asian, Sri Lankan"
20263898,Canova Restaurant,"208/5/4, Kandy 20000 Sri Lanka",5,2,+94 71 870 7293,/Restaurant_Review-g304138-d20263898-Reviews-Canova_Restaurant-Kandy_Kandy_District_Central_Province.html,0.9683,Positive,
28079527,Sherees' Cakes - Kandy,"90, Paradise Park, Thapodharama Road, Hanthana, Kandy, Kandy 20000 Sri Lanka",5,1,+94 77 364 2785,/Restaurant_Review-g304138-d28079527-Reviews-Sherees_Cakes_Kandy-Kandy_Kandy_District_Central_Province.html,0.9639,Positive,
23611484,Kandywin Hotels,"85/2 Amunugama, Kandy 20270 Sri Lanka",5,1,+94 76 041 1215,/Restaurant_Review-g304138-d23611484-Reviews-Kandywin_Hotels-Kandy_Kandy_District_Central_Province.html,0.9595,Positive,"Italian, American, Indian, Asian, Sri Lankan"
27931363,Queen Zee,"198,Thalwatta, Kandy 20000 Sri Lanka",5,1,+94 77 369 0822,/Restaurant_Review-g304138-d27931363-Reviews-Queen_Zee-Kandy_Kandy_District_Central_Province.html,0.9595,Positive,Asian
33040540,Yaka Lounge,"Sri Rajasinghe Mawatha, 9 Sandriana Lake View Hotel, 5 Floor, Kandy 20200 Sri Lanka",5,5,+94 77 739 3812,/Restaurant_Review-g304138-d33040540-Reviews-Yaka_Lounge-Kandy_Kandy_District_Central_Province.html,0.95786,Positive,"Italian, Asian, Sri Lankan"
12310642,Day Break Restaurant,"210 / 1 Pallegama Ampitiya, Kandy 20160 Sri Lanka",5,1,+94 81 2 235313,/Restaurant_Review-g304138-d12310642-Reviews-Day_Break_Restaurant-Kandy_Kandy_District_Central_Province.html,0.9531,Positive,"Italian, Chinese, Thai, Grill"
11437023,Cafe GetMore,"172 E.L. Senanayake St, Kandy 20000 Sri Lanka",5,1,+94 76 702 7090,/Restaurant_Review-g304138-d11437023-Reviews-Cafe_GetMore-Kandy_Kandy_District_Central_Province.html,0.9476,Positive,
16759138,Mom's Home Cooked Sri Lankan Cuisine,"Rajapihilla Mawatha, Kandy 20000 Sri Lanka",5,1,+94 70 232 2058,/Restaurant_Review-g304138-d16759138-Reviews-Mom_s_Home_Cooked_Sri_Lankan_Cuisine-Kandy_Kandy_District_Central_Province.html,0.9432,Positive,"Asian, Sri Lankan"
20264970,Good Vibes Cafe Kandy,"Peradeniya Road, Kandy 20000 Sri Lanka",5,1,+94 77 171 4895,/Restaurant_Review-g304138-d20264970-Reviews-Good_Vibes_Cafe_Kandy-Kandy_Kandy_District_Central_Province.html,0.9409,Positive,"Italian, French, Chinese, Japanese, Cafe"
20156970,The Loft - Kandy,"Upper Floor, No 258/1/4, D.S. Senanayake, Kandy 20000 Sri Lanka",5,2,+94 77 042 5291,/Restaurant_Review-g304138-d20156970-Reviews-The_Loft_Kandy-Kandy_Kandy_District_Central_Province.html,0.94055,Positive,Seafood
25174405,Street Kitchen,"517 Peradeniya Road, Kandy 20000 Sri Lanka",5,1,+94 81 2 222699,/Restaurant_Review-g304138-d25174405-Reviews-Street_Kitchen-Kandy_Kandy_District_Central_Province.html,0.936,Positive,
